name,year,type,dynasty
水稻栽培,-10000,科技,远古
猪的驯化,-8500,科技,远古
粟的栽培,-8000,科技,远古
含酒精饮料的酿造,-8000,科技,远古
髹漆,-8000,科技,远古
养蚕,-5000,科技,远古
缫丝,-5000,科技,远古
大豆栽培,-4500,科技,远古
神农氏攻斧燧氏之战,-3000,战争,远古
黄帝征服中原各族之战,-2600,战争,远古
阪泉之战,-2600,战争,远古
涿鹿之战,-2600,战争,远古
颛顼与共工之战,-2500,战争,远古
帝喾攻共工之战,-2400,战争,远古
尧攻驩兜丹水之战,-2300,战争,远古
舜攻三苗之战,-2200,战争,远古
禹攻共工之战,-2200,战争,远古
禹攻三苗之战,-2200,战争,远古
夏启攻益之战,-2100,战争,远古
甘之战,-2100,战争,远古
夏启攻西河之战,-2100,战争,远古
夏胤攻羲氏和氏之战,-2000,战争,夏
夏相攻东夷之战,-2000,战争,夏
夏少康复国之战,-1900,战争,夏
洛伯与河伯之战,-1800,战争,夏
块范法,-1700,科技,商
商上甲微灭有易氏之战,-1700,战争,夏
夏不降攻九苑之战,-1700,战争,夏
夏桀攻有施氏之战,-1600,战争,夏
夏桀攻有缗氏之战,-1600,战争,夏
商灭夏的战争,-1600,战争,夏
商汤灭葛之战,-1600,战争,夏
商汤灭韦顾之战,-1600,战争,夏
商汤灭昆吾之战,-1600,战争,夏
商中丁攻蓝夷之战,-1600,战争,夏
商河亶甲攻蓝夷班方之战,-1400,战争,商
干支,-1300,科技,商
商武丁攻周边各国的战争,-1300,战争,商
商武丁攻甫之战,-1300,战争,商
商武丁攻沚之战,-1300,战争,商
商武丁攻周之战,-1300,战争,商
商武丁攻巴方之战,-1300,战争,商
商武丁攻下危之战,-1300,战争,商
武丁攻宙方之战,-1300,战争,商
商武丁攻缶之战,-1300,战争,商
子方攻基攻缶之战,-1300,战争,商
商武丁攻亘方之战,-1300,战争,商
商武丁攻荆楚之战,-1300,战争,商
商武丁攻归、佣之战,-1300,战争,商
商武丁攻虎方之战,-1300,战争,商
商武丁对西北游牧民族的战争,-1300,战争,商
商武丁攻土之战,-1300,战争,商
商武丁攻方之战,-1300,战争,商
商武丁攻洋方之战,-1300,战争,商
商武丁攻羌方之战,-1300,战争,商
商武丁攻北羌之战,-1300,战争,商
商武丁攻龙方之战,-1300,战争,商
商震攻鬼方之战,-1300,战争,商
商武丁攻人方之战,-1300,战争,商
阴阳合历,-1200,科技,商
廪辛、康丁攻危方之战,-1200,战争,商
廪辛、康丁抗击羌方之战,-1200,战争,商
商武乙攻召方之战,-1200,战争,商
商武乙攻人方之战,-1200,战争,商
周季历攻西落鬼戎之战,-1200,战争,商
周季历灭程之战,-1200,战争,商
周季历攻燕京戎之战,-1200,战争,商
周季历攻余无戎之战,-1200,战争,商
周季历攻始呼戎之战,-1200,战争,商
周季历攻翳徒戎之战,-1200,战争,商
周文王攻商之战,-1200,战争,商
竹子栽培,-1100,科技,商
商帝乙攻人方之战,-1100,战争,商
商帝乙帝辛攻盂方之战,-1100,战争,商
商帝辛攻东夷之战,-1100,战争,商
周文王攻犬戎之战,-1100,战争,商
周文王灭密须之战,-1100,战争,商
周文王攻耆之战,-1100,战争,商
周文王灭邗之战,-1100,战争,商
周灭崇之战,-1100,战争,商
牧野之战,-1100,战争,商
周公东征,-1100,战争,商
周公灭武庚之战,-1100,战争,商
周公平管蔡之战,-1100,战争,商
周公攻东国之战,-1100,战争,商
周成王攻录国之战,-1100,战争,商
周康王攻鬼方之战,-1100,战争,商
茶树栽培,-1040,科技,周
圭表,-1000,科技,西周
周昭王攻荆楚之战,-1000,战争,周
周昭王攻东夷之战,-1000,战争,周
周穆王攻犬戎之战,-1000,战争,周
周穆王攻徐之战,-1000,战争,周
周穆王攻群舒之战,-1000,战争,周
周共王灭密之战,-1000,战争,周
周懿王攻犬戎之战,-900,战争,周
周孝王攻西戎之战,-900,战争,周
周夷王攻太原戎之战,-900,战争,周
武公攻狁之战,-900,战争,周
以生铁为本的钢铁冶炼技术,-700,科技,春秋
杂种优势利用,-500,科技,东周
筹算,-500,科技,春秋
柑橘栽培,-500,科技,东周
分行栽培（垄作法）,-500,科技,春秋
曾侯乙编钟,-475,科技,战国
小孔成像,-400,科技,战国
青铜弩机,-400,科技,战国
二十四节气,-300,科技,战国
盈不足术,-300,科技,战国
叠铸法,-300,科技,战国
都江堰,-255,科技,秦
多熟种植,-250,科技,战国
长城,-250,科技,秦
灵渠,-215,科技,秦
秦陵铜车马,-210,科技,秦
马王堆地图,-200,科技,汉
造纸术,-200,科技,汉
勾股容圆,-100,科技,汉
方程术,-100,科技,汉
温室栽培,-100,科技,汉
提花机,-100,科技,汉
经脉学说,0,科技,汉
四诊法,0,科技,汉
胸带式系驾法,0,科技,汉
指南车,0,科技,汉
水碓,0,科技,汉
风扇车,1,科技,汉
东郡太守翟义起兵反王莽,7,战争,汉
新莽铜卡尺,9,科技,新莽
刘快起兵反王莽,9,战争,汉
王莽征高丽,12,战争,汉
王莽攻击句町国,16,战争,汉
成昌之战,22,战争,汉
昆阳之战,23,战争,汉
本草学,25,科技,汉
方剂学,25,科技,汉
汉统一战争,25,战争,汉
杜陵之战,26,战争,汉
汉统一关东之战,26,战争,汉
漳水之战,26,战争,汉
睢阳之战,26,战争,汉
湖县之战,27,战争,汉
崤底之战,27,战争,汉
宜阳之战,27,战争,汉
黎丘之战,27,战争,汉
祝阿、临淄之战,29,战争,汉
汉平陇西之战,30,战争,汉
天水之战,32,战争,汉
汉灭蜀之战,35,战争,汉
汉攻公孙述之战,35,战争,汉
广都、成都之战,35,战争,汉
马援征岭南之战,42,战争,汉
天象记录,50,科技,汉
稽落山之战,89,战争,汉
针灸,100,科技,汉
水排,100,科技,汉
赤亭之战,115,战争,汉
地动仪,132,科技,汉
坐原战役,172,战争,汉
长社之战,184,战争,汉
广宗之战,184,战争,汉
下曲阳之战,184,战争,汉
五斗米道,184,战争,汉
黑山军,185,战争,汉
白波军,188,战争,汉
董卓讨伐战,190,战争,汉
鲁阳之战,190,战争,汉
曹操统一北方的战争,191,战争,汉
武阳之战,192,战争,汉
兖州之战,192,战争,汉
定陶之战,195,战争,汉
孙策平江东之战,195,战争,汉
曲阿之战,195,战争,汉
穰城之战,198,战争,汉
制图六体,200,科技,汉
律管管口校正,200,科技,汉
翻车（龙骨车）,200,科技,汉
瓷器,200,科技,汉
官渡之战,200,战争,汉
徐州之战,200,战争,汉
白马之战,200,战争,汉
乌巢之战,200,战争,汉
夏口之战,203,战争,汉
白狼山之战,207,战争,汉
博望坡之战,208,战争,汉
江夏之战,208,战争,汉
赤壁之战,208,战争,汉
林历山之战,208,战争,汉
渭南之战,211,战争,汉
益州之战,211,战争,汉
皖城之战,214,战争,汉
合肥之战,215,战争,汉
巴西之战,215,战争,汉
汉中之战,218,战争,汉
樊城之战,219,战争,汉
江陵之战,219,战争,汉
夷陵之战,221,战争,三国
濡须口之战,223,战争,三国
广陵之战,224,战争,三国
诸葛亮南征,225,战争,三国
诸葛亮北伐,228,战争,三国
街亭之战,228,战争,三国
吴平山越之战,234,战争,三国
魏灭公孙渊辽东之战,238,战争,三国
汉中之战,244,战争,三国
曹魏与高句丽的战争,244,战争,三国
曲城之战,249,战争,三国
东兴之战,252,战争,三国
姜维北伐,253,战争,三国
南安、合肥之战,253,战争,三国
寿春之战,257,战争,三国
魏灭蜀之战,263,战争,三国
钟会谋反,264,战争,三国
永安之战,264,战争,三国
西陵之战,272,战争,三国
凉州之战,279,战争,三国
晋灭吴之战,279,战争,三国
八王之乱,291,战争,晋
西晋末年：流民起义,296,战争,晋
物不知数（中国剩余定理）,300,科技,晋
马镫,300,科技,汉
陈敏反晋之战,305,战争,晋
永嘉之乱,311,战争,晋
宁平城之战,311,战争,晋
杜弢起义,311,战争,晋
襄国之战,312,战争,晋
幽州之战,314,战争,晋
长安之战,316,战争,晋
荥阳之战,317,战争,晋
浚义之战,319,战争,晋
棘城之战,319,战争,晋
赵平大秦之战,320,战争,晋
晋平苏峻之战,327,战争,晋
洛阳之战,328,战争,晋
晋平成汉之战,346,战争,晋
襄国之战（英语：Wei–Jie war）,350,战争,晋
晋攻前秦之战,354,战争,晋
鲁口之战,354,战争,晋
广固之战,355,战争,晋
野王之战,361,战争,晋
晋攻前燕之战,369,战争,晋
吕光攻龟兹之战,383,战争,晋
淝水之战,383,战争,晋
北魏统一北方的战争,386,战争,晋
凉州之战,387,战争,晋
大界之战,389,战争,晋
杏城镇之战,390,战争,晋
北魏灭刘卫辰之战,390,战争,晋
吕光攻西秦之战,392,战争,晋
后燕灭西燕之战,393,战争,晋
参合陂之战,395,战争,晋
北魏攻后燕之战,396,战争,晋
孙恩起义,399,战争,晋
卢循起义,402,战争,晋
覆舟山之战,404,战争,晋
刘裕击桓玄之战,404,战争,晋
刘裕灭南燕之战,409,战争,晋
刘裕灭后秦之战,416,战争,晋
魏宋河南之战,422,战争,十六国
宋攻谢晦之战,426,战争,十六国
西秦攻北凉之战,426,战争,十六国
魏攻统万之战,426,战争,十六国
统万之战,427,战争,十六国
魏攻柔然之战,429,战争,十六国
宋魏河南之战,430,战争,十六国
平凉之战,430,战争,十六国
魏燕之战,432,战争,十六国
汉中之战,433,战争,十六国
魏灭北凉之战,439,战争,十六国
雍州之战,449,战争,南北朝
陕城之战,450,战争,南北朝
宋文帝攻魏河南之战,452,战争,南北朝
宋平刘义宣之战,454,战争,南北朝
广陵之战,459,战争,南北朝
宋平刘子勋之战,466,战争,南北朝
彭城之战,466,战争,南北朝
青州之战,467,战争,南北朝
建康之战,474,战争,南北朝
齐魏战争,479,战争,南北朝
寿阳之战,479,战争,南北朝
魏伐百济,488,战争,南北朝
淮汉之战,494,战争,南北朝
汉中之战,495,战争,南北朝
南阳之战,497,战争,南北朝
钟离、义阳之战,503,战争,南北朝
合肥之战,506,战争,南北朝
钟离之战,507,战争,南北朝
硖石之战,515,战争,南北朝
梁与北魏的战争,527,战争,南北朝
陈庆之攻北魏之战,529,战争,南北朝
高欢攻尔朱氏之战,531,战争,南北朝
至次年：北魏分裂,534,战争,南北朝
潼关之战,537,战争,南北朝
沙苑之战,537,战争,南北朝
邙山之战,543,战争,南北朝
玉壁之战,546,战争,南北朝
侯景之乱,547,战争,南北朝
侯景叛东魏之战,547,战争,南北朝
侯景叛梁魏之战,548,战争,南北朝
侯景攻三吴之战,549,战争,南北朝
萧绎讨平侯景之乱,550,战争,南北朝
江陵之战,554,战争,南北朝
北齐攻梁之战,556,战争,南北朝
洛阳之战,564,战争,南北朝
沌口之战,567,战争,南北朝
宜阳、汾北之战,569,战争,南北朝
河阴之战,575,战争,南北朝
平阳之战,576,战争,南北朝
杨坚平尉迟迥之战,580,战争,南北朝
杨坚平王谦之战,580,战争,南北朝
利州之战,580,战争,南北朝
武涉之战,580,战争,南北朝
邺城之战,580,战争,南北朝
梁郡之战,580,战争,南北朝
金乡之战,580,战争,南北朝
始州之战,580,战争,南北朝
隋统一战争,581,战争,南北朝
丰利山之战,581,战争,南北朝
高颎攻陈之战,581,战争,南北朝
突厥攻隋之战,581,战争,南北朝
陈平始兴王陈叔陵叛乱,582,战争,南北朝
甑山、涢口之战,582,战争,南北朝
可洛赅山之战,582,战争,南北朝
周盘之战,582,战争,南北朝
隋反击突厥之战,583,战争,南北朝
白道之战,583,战争,南北朝
隋灭高宝宁之战,583,战争,南北朝
高越原之战,583,战争,南北朝
沙钵略与阿波之战,583,战争,南北朝
砂城之战,583,战争,南北朝
隋梁远击吐谷浑之战,583,战争,南北朝
隋贺娄子干击吐谷浑之战,584,战争,南北朝
陈平章大宝叛乱,585,战争,南北朝
梁戚昕袭陈公安之战,585,战争,南北朝
隋助沙钵略可汗击阿波可汗之战,585,战争,南北朝
莫何可汗击阿波可汗之战,587,战争,南北朝
隋灭陈之战,588,战争,南北朝
狼尾滩之战,588,战争,南北朝
歧亭、延州之战,589,战争,南北朝
白土岗之战,589,战争,南北朝
湘州之战,589,战争,南北朝
南康之战,589,战争,南北朝
隋定三吴之战,589,战争,南北朝
南定州之战,589,战争,南北朝
隋平江南之战,590,战争,隋
隋击降党项之战,595,战争,隋
隋平定爨玩昆州之战,597,战争,隋
隋平李光仕叛乱,597,战争,隋
隋平李世贤叛乱,597,战争,隋
